roomID,accuracy,checkin,cleanliness,communication,guestSatisfaction,isSuperhost,latitude,location,longitude,numBaths,numBeds,numGuests,numReviews,numRooms,price,rating,value,bath,private bath,shared bath,Studio,bedroom,Entire home/apt,Private room,Shared room
9528733,9.0,10.0,9.0,9.0,92.0,0,40.746817785381076,9.0,-73.99733160011401,1.0,3,5,38.0,2,400,4.5,9.0,1,0,0,0,1,1,0,0
18615630,10.0,10.0,10.0,10.0,99.0,1,40.734722251884094,10.0,-74.00157154907023,1.0,2,6,20.0,2,275,5.0,10.0,1,0,0,0,1,0,1,0
13357245,10.0,10.0,10.0,10.0,98.0,1,40.784043212473605,10.0,-74.01212487778854,1.0,2,3,66.0,1,69,5.0,10.0,1,0,0,0,1,1,0,0
21675209,10.0,10.0,9.0,10.0,94.0,0,40.74600939421736,10.0,-73.97823481931455,1.0,2,4,10.0,0,200,4.5,9.0,1,0,0,1,0,1,0,0
8067466,10.0,10.0,9.0,10.0,94.0,1,40.70912990639111,10.0,-74.01428840560855,1.0,1,2,85.0,1,79,4.5,9.0,0,0,1,0,1,0,1,0
16354670,10.0,10.0,10.0,10.0,97.0,0,40.77898933319932,10.0,-74.01455616184747,2.0,5,8,58.0,2,160,5.0,10.0,1,0,0,0,1,1,0,0
20828460,10.0,10.0,10.0,10.0,99.0,1,40.76697013895118,10.0,-73.99134329542125,1.0,1,2,26.0,1,92,5.0,10.0,0,0,1,0,1,0,1,0
8152675,9.0,9.0,9.0,8.0,85.0,0,40.729951523551335,9.0,-73.981345913814,1.0,2,4,63.0,2,200,4.5,9.0,1,0,0,0,1,1,0,0
16999874,10.0,10.0,10.0,10.0,96.0,1,40.779298954211384,10.0,-74.01247308720981,1.0,2,3,69.0,1,40,5.0,10.0,0,0,1,0,1,0,1,0
8173609,10.0,10.0,9.0,10.0,93.0,1,40.800893431064345,10.0,-73.95673687709593,1.0,2,5,40.0,2,150,4.5,9.0,1,0,0,0,1,1,0,0
7883602,9.0,9.0,9.0,9.0,91.0,0,40.76595393521046,10.0,-73.9888339382518,1.0,1,2,19.0,1,46,4.5,9.0,1,0,0,0,1,0,1,0
21769638,10.0,10.0,10.0,10.0,100.0,1,40.69395420562153,10.0,-73.95231549620864,1.0,2,3,4.0,2,125,5.0,10.0,1,0,0,0,1,1,0,0
10907480,10.0,10.0,10.0,10.0,97.0,1,40.722306502279636,10.0,-73.99505524771281,1.0,2,4,54.0,2,349,5.0,10.0,1,0,0,0,1,1,0,0
8761013,10.0,10.0,10.0,10.0,100.0,0,40.726127169040815,10.0,-74.00825636011372,1.5,2,4,4.0,2,475,5.0,10.0,1,0,0,0,1,1,0,0
