accuracy,bathType,bedType,bedroomType,checkin,cleanliness,communication,guestSatisfaction,isSuperhost,latitude,location,longitude,numBaths,numBeds,numGuests,numHostReviews,numReviews,numRooms,price,rating,responseTimeShown,roomID,roomType,shortDesc,value
,shared baths,bed,bedroom,,,,,false,40.81379384049858,,-73.9523275917719,1.5,1,1,,,1,1000,,,22343274,,Private room,
9,baths,beds,bedrooms,10,10,10,96,true,40.77635077333981,10,-73.94812586285921,4,8,4,,29,5,1126,5,,6758849,,Entire home/apt,10
,bath,beds,bedroom,,,,,false,40.763423166049314,,-73.97744286850396,1,2,4,,,1,1299,,,21590341,,Entire home/apt,
10,shared bath,bed,bedroom,10,10,10,99,false,40.7988332741845,9,-74.0035246856411,1,1,2,,34,1,36,5,,19354356,,Private room,10
,bath,beds,bedroom,,,,,false,40.770870134357786,,-73.95784896235133,1,2,4,,,1,38,,,18175507,,Entire home/apt,
10,shared bath,bed,bedroom,10,10,10,98,true,40.74546578812162,10,-73.93184166699974,1,1,1,17,17,1,32,5,,2867115,,Private room,10
10,shared bath,bed,bedroom,10,9,10,96,false,40.81130900449953,10,-73.95820441169178,1,1,1,39,27,1,30,5,,18005542,,Private room,9
10,bath,beds,bedrooms,10,10,10,95,true,40.76038623922174,9,-74.03743392247951,1,3,6,,22,2,39,5,,18294897,,Entire home/apt,10
9,bath,bed,bedroom,10,9,10,93,false,40.788342342929646,9,-73.94720113989716,1,1,1,,162,1,40,4.5,,4475128,,Private room,9
10,bath,beds,bedroom,10,10,10,100,false,40.786168536710186,9,-73.97662986253034,1,5,8,,9,1,30,5,,21628066,,Shared room,10
10,shared bath,bed,bedroom,10,10,10,95,false,40.74370699485798,10,-74.04420296207199,1,1,1,,62,1,31,5,,14400745,,Private room,10
10,private baths,bed,bedrooms,10,10,10,98,true,40.792269622445225,9,-73.94535648959783,2,1,2,38,35,2,33,5,,16394576,,Private room,10
,private bath,bed,bedroom,,,,,true,40.766223240227845,,-74.0318808223804,1,1,2,,,1,40,,,16559690,,Private room,
,bath,bed,bedroom,,,,,false,40.7681970168719,,-73.92851937935886,1,1,2,,,1,30,,,22867334,,Shared room,
,shared bath,bed,bedroom,,,,,false,40.72159176922035,,-74.04778574668889,1,1,4,2,,1,30,,,23042674,,Private room,
9,shared bath,bed,bedroom,10,9,10,93,true,40.71230958141818,10,-73.95312952591094,1,1,2,,222,1,30,4.5,,3798941,,Private room,9
10,private bath,beds,Studio,10,10,10,100,false,40.79862720671981,10,-74.00665718470945,1,2,4,,7,0,35,5,,22615640,,Private room,10
,bath,bed,bedroom,,,,,true,40.722865755589645,,-74.03524175739679,1,1,6,,,1,30,,,23078560,,Entire home/apt,
10,shared bath,bed,bedroom,10,10,9,95,false,40.75767670771694,10,-73.92710917704385,1,1,1,,59,1,35,5,,19142273,,Private room,10
9,bath,bed,bedroom,9,9,10,94,false,40.745107294971646,10,-73.92397864654724,1,1,1,,20,1,32,4.5,,256078,,Private room,9
10,bath,bed,bedroom,9,9,10,94,false,40.71994365586731,10,-73.95990405829976,1,1,2,343,111,1,40,4.5,,4553721,,Private room,9
9,bath,bed,bedroom,9,9,9,86,false,40.74656698781189,10,-73.98280499590744,1,1,1,12,7,1,50,4.5,,22050046,,Shared room,9
9,shared baths,bed,bedroom,10,9,9,89,false,40.70684174648949,10,-73.92256605534621,2.5,1,2,243,33,1,42,4.5,,20598856,,Private room,9
10,shared bath,bed,bedroom,10,10,10,97,true,40.76998505742155,10,-73.98917666341852,1,1,2,,189,1,42,5,,7461640,,Private room,10
9,shared bath,bed,bedroom,10,9,10,93,true,40.709308880047516,9,-73.95935915752848,1,1,2,,59,1,44,4.5,,13619786,,Private room,9
10,bath,bed,bedroom,10,10,10,98,true,40.77788127482063,10,-74.0181682834051,1,1,1,,63,1,42,5,,8081420,,Private room,10
10,bath,bed,bedroom,10,10,10,96,true,40.723631296646474,10,-73.99545618901324,1,1,1,,108,1,50,5,,13971471,,Shared room,10
10,shared bath,bed,bedroom,10,9,10,95,false,40.73197752742528,10,-74.00490852475993,1,1,1,32,25,1,49,5,,13206404,,Private room,9
10,shared bath,beds,bedroom,10,10,10,95,true,40.79302994224038,9,-73.94474413441647,1,2,4,,31,1,49,5,,21593621,,Private room,10
10,bath,beds,Studio,10,10,10,97,true,40.75730896262811,10,-73.98600948703132,1,2,3,,15,0,40,5,,21964145,,Entire home/apt,10
10,shared bath,bed,bedroom,10,9,10,93,false,40.725242238909935,10,-73.9777662666216,1,1,2,107,99,1,50,4.5,,15860051,,Private room,9
10,shared bath,bed,bedroom,10,10,10,98,true,40.77105326821609,9,-74.0218524093361,1,1,2,,34,1,45,5,,17862093,,Private room,10
10,shared baths,beds,bedroom,10,9,10,97,true,40.7943906533419,9,-73.94602445950284,2,3,5,,39,1,41,5,,21695785,,Private room,9
9,bath,bed,Studio,10,9,10,91,false,40.74928587906605,10,-73.995445568591,1,1,1,,68,0,50,4.5,,16393395,,Private room,9
9,shared bath,bed,bedroom,10,8,9,85,false,40.766480129672594,9,-73.93273112406136,1,1,2,,130,1,42,4.5,,7791224,,Private room,8
10,shared bath,bed,bedroom,10,10,10,80,false,40.75734903950578,10,-73.9903424741722,1,1,2,,5,1,46,4,,21990808,,Private room,10
10,bath,bed,bedroom,10,10,10,95,false,40.795332418186845,9,-73.94764312268727,1,1,2,141,94,1,45,5,,11843397,,Private room,10
10,bath,beds,bedroom,10,10,10,100,false,40.76533927214737,10,-73.98515675400242,1,2,2,24,21,1,58,5,,15144508,,Shared room,10
10,shared bath,bed,bedroom,10,9,10,94,false,40.716541828772925,9,-73.99932031325194,1,1,2,87,51,1,59,4.5,,20022710,,Private room,9
10,shared baths,bed,bedroom,10,10,10,98,false,40.692894861184584,9,-73.94356181800214,1.5,1,2,,10,1,50,5,,1519957,,Private room,10
9,bath,beds,bedroom,10,9,9,89,false,40.754937527547696,9,-73.93497971041349,1,3,4,,186,1,50,4.5,,2461673,,Private room,9
9,shared bath,beds,bedroom,10,9,10,95,true,40.712126135043555,10,-73.95617895037068,1,2,3,,16,1,50,5,,21641798,,Private room,9
9,shared bath,beds,bedroom,9,9,9,90,false,40.75855052128366,9,-73.98694924870374,1,2,6,,10,1,55,4.5,,21322273,,Private room,9
10,shared bath,bed,bedroom,10,10,10,93,false,40.76275260631327,10,-73.99525011906245,1,1,1,646,72,1,50,4.5,,16313932,,Private room,10
9,shared bath,bed,bedroom,10,10,10,88,false,40.747981288917536,10,-73.99532144613357,1,1,1,,60,1,50,4.5,,13926664,,Private room,10
10,shared bath,bed,bedroom,10,10,10,95,true,40.75703903942216,10,-73.92135095083424,1,1,2,,49,1,54,5,,18876580,,Private room,10
10,shared bath,bed,bedroom,10,10,10,97,false,40.79115373642696,10,-73.94743274835116,1,1,2,61,46,1,59,5,,11167381,,Private room,10
9,shared bath,beds,bedroom,10,9,10,90,false,40.72347302336238,9,-73.9869906359316,1,2,3,,67,1,50,4.5,,19180935,,Private room,9
,shared bath,bed,bedroom,,,,,false,40.72606700253814,,-74.05027589109699,1,1,2,,,1,55,,,21868046,,Private room,
,shared bath,bed,bedroom,,,,,false,40.71490167016254,,-73.95687762940253,1,1,2,,,1,60,,,22517182,,Private room,
10,shared bath,beds,bedroom,10,9,10,92,false,40.70956275483354,9,-73.96293815861948,1,2,3,,55,1,51,4.5,,17863262,,Private room,9
9,shared bath,bed,bedroom,10,10,10,90,false,40.76276812742843,10,-73.99424299243131,1,1,1,,130,1,54,4.5,,13760302,,Private room,10
10,bath,bed,bedroom,10,10,10,95,true,40.70740269487139,9,-73.95911330595162,1,1,2,352,42,1,56,5,,15127055,,Private room,10
10,bath,bed,bedroom,10,9,9,93,false,40.75806182562915,9,-73.92689209755501,1,1,5,248,60,1,55,4.5,,15932054,,Private room,9
,shared bath,bed,bedroom,,,,,false,40.739259359223475,,-73.9985784511407,1,1,2,7,,1,68,,,22328240,,Private room,
9,shared bath,beds,bedroom,9,9,10,90,false,40.730146507278015,10,-74.03261809889497,1,2,4,,76,1,69,4.5,,16679878,,Private room,9
,bath,beds,Studio,,,,,false,40.69812386471656,,-73.93000899143593,1,2,3,,,0,70,,,22437457,,Entire home/apt,
10,shared bath,bed,bedroom,10,10,10,98,false,40.712773007569055,10,-73.9637044175336,1,1,2,,11,1,70,5,,18671139,,Private room,10
10,shared bath,bed,bedroom,10,10,10,96,true,40.70773596909543,10,-73.95951428443108,1,1,2,,63,1,62,5,,13680539,,Private room,10
10,shared bath,bed,bedroom,10,10,10,100,false,40.73464908863781,10,-74.00672350224849,1,1,2,11,6,1,60,5,,22247944,,Private room,10
9,shared bath,bed,bedroom,10,9,10,93,false,40.73600814996903,10,-73.98205372357907,1,1,1,,115,1,69,4.5,,3757461,,Private room,9
9,shared bath,bed,bedroom,10,10,10,96,true,40.76614913148642,10,-73.98829349848147,1,1,2,,38,1,66,5,,19502079,,Private room,10
,shared bath,bed,bedroom,,,,,true,40.70797557063667,,-74.01306571193565,1,1,2,,,1,69,,,6955851,,Private room,
10,shared bath,bed,bedroom,10,9,10,92,false,40.72390459773907,10,-73.98371387013208,1,1,2,,13,1,70,4.5,,21011906,,Private room,9
10,shared bath,beds,bedroom,10,10,10,93,true,40.809986139552066,10,-73.95483832138679,1,2,4,,9,1,62,4.5,,21399985,,Private room,10
10,shared bath,beds,bedroom,10,10,10,100,false,40.79828256985143,10,-73.95098644930526,1,2,3,,9,1,69,5,,22362300,,Private room,10
9,private bath,bed,bedroom,9,9,9,89,false,40.76189377533444,10,-73.98683581146503,1,1,2,,35,1,60,4.5,,19298102,,Private room,9
10,shared bath,bed,bedroom,10,10,10,96,true,40.76423103522575,10,-73.98796073113473,1,1,2,,143,1,69,5,,4849511,,Private room,10
10,shared bath,bed,bedroom,10,10,10,98,false,40.79776307083007,10,-73.94904787677194,1,1,2,25,9,1,69,5,,22334999,,Private room,10
10,shared bath,beds,bedroom,10,9,10,91,false,40.74729302787467,9,-73.98957198293222,1,2,2,63,26,1,65,4.5,,22241573,,Private room,9
10,bath,beds,bedrooms,10,10,10,94,false,40.762408803279435,9,-74.04426571080212,1,2,4,35,34,2,70,4.5,,19228323,,Entire home/apt,10
10,bath,beds,bedroom,10,10,10,97,true,40.72429752664009,10,-74.03669229058995,1,3,4,,50,1,82,5,,18338040,,Entire home/apt,10
10,shared bath,bed,bedroom,10,10,10,92,false,40.74647986422527,10,-73.97500969963238,1,1,2,,13,1,88,4.5,,20583037,,Private room,10
10,bath,bed,bedroom,10,10,10,97,true,40.80118249584583,9,-73.94513159871038,1,1,2,,49,1,85,5,,12600938,,Private room,10
,shared bath,bed,bedroom,,,,,false,40.72158236683214,,-73.98144610135007,1,1,2,,,1,80,,,8523877,,Private room,
10,shared baths,bed,bedroom,10,9,10,95,false,40.729046376042334,10,-73.97883962272529,1.5,1,2,102,53,1,80,5,,20780885,,Private room,9
10,bath,beds,Studio,10,10,10,96,true,40.74792445619926,10,-73.98696350956611,1,3,6,,26,0,85,5,,18916415,,Entire home/apt,10
10,shared bath,bed,bedroom,10,10,10,97,true,40.796567278118005,9,-73.96239887030569,1,1,2,,36,1,90,5,,13944942,,Private room,10
9,bath,bed,bedroom,9,9,9,89,false,40.80111058181238,10,-73.95548442911178,1,1,2,143,61,1,80,4.5,,11292338,,Private room,9
,shared baths,bed,bedroom,,,,,false,40.79778679441566,,-73.94825330963758,1.5,1,2,,,1,85,,,22751004,,Private room,
10,bath,bed,Studio,10,9,10,93,false,40.77509959990569,10,-73.95440741749391,1,1,4,,25,0,89,4.5,,21044666,,Entire home/apt,9
10,shared bath,bed,bedroom,10,10,10,98,true,40.76404030374538,10,-73.96546624490972,1,1,2,,37,1,89,5,,16781516,,Private room,10
10,shared bath,bed,bedroom,10,10,10,98,false,40.79736360461939,9,-73.9444228559514,1,1,2,,41,1,90,5,,11401884,,Private room,10
10,private bath,bed,bedroom,10,10,10,95,false,40.76184847244345,10,-73.99126171541799,1,1,2,,112,1,85,5,,6800277,,Private room,10
10,shared baths,beds,bedroom,10,10,10,98,false,40.79128835544948,10,-73.97379586248695,2,2,2,39,17,1,80,5,,21368768,,Private room,10
10,shared bath,bed,bedroom,10,10,10,97,false,40.79656425509337,10,-73.94817837124654,1,1,2,507,72,1,85,5,,16629299,,Private room,10
10,bath,bed,bedroom,10,10,10,100,false,40.76807566006181,10,-74.02434737654453,1,1,4,331,4,1,99,5,,22705287,,Entire home/apt,10
,shared bath,beds,bedroom,,,,,false,40.78852008284178,,-73.93990862511532,1,2,3,,,1,100,,,23000463,,Private room,
10,bath,bed,Studio,10,10,10,98,true,40.75085917303459,10,-73.94246084836242,1,1,2,,25,0,100,5,,20503658,,Entire home/apt,10
10,private bath,beds,bedroom,10,10,9,94,false,40.76207311537364,10,-73.98944684722457,1,2,4,,90,1,95,4.5,,6799814,,Private room,10
10,bath,beds,bedroom,10,10,10,94,false,40.72364256045421,10,-74.04809282781298,1,2,4,,94,1,95,4.5,,17368610,,Entire home/apt,10
10,shared bath,bed,bedroom,10,9,10,96,true,40.75911819301216,10,-73.98984504717372,1,1,2,276,40,1,99,5,,14578109,,Private room,9
10,bath,beds,bedrooms,10,10,10,96,false,40.71313850742476,10,-74.03986289077751,1,2,4,,127,2,100,5,,14726245,,Entire home/apt,10
,bath,bed,Studio,,,,,false,40.76226264904542,,-73.9946070092693,1,1,2,,,0,90,,,21957095,,Entire home/apt,
9,bath,bed,Studio,10,9,10,91,false,40.77487233288286,10,-73.9505544267959,1,1,4,248,22,0,99,4.5,,21318590,,Entire home/apt,9
10,bath,beds,bedroom,9,10,10,95,false,40.77412264023736,10,-73.95694745643677,1,2,4,,42,1,90,5,,19343700,,Entire home/apt,10
10,bath,beds,Studio,10,10,10,96,true,40.73853473027906,10,-74.00015736655659,1,2,3,,23,0,95,5,,21042395,,Entire home/apt,10
9,private bath,bed,bedroom,10,9,9,92,false,40.7569946273273,10,-73.98493327749615,1,1,4,,69,1,100,4.5,,9720768,,Private room,9
10,private bath,bed,bedroom,10,9,9,92,false,40.76037149375529,10,-73.99083526227537,1,1,2,,106,1,90,4.5,,6786761,,Private room,9
10,bath,beds,Studio,9,9,9,90,false,40.72793572422652,10,-73.98127070268062,1,2,3,,41,0,95,4.5,,20209791,,Entire home/apt,9
10,bath,bed,bedrooms,10,10,10,98,true,40.75381057482647,10,-73.92559413459055,1,1,3,43,43,2,93,5,,19547068,,Entire home/apt,10
,bath,bed,Studio,,,,,false,40.72957182640557,,-73.98723633661348,1,1,3,12,,0,90,,,23006397,,Entire home/apt,
10,bath,bed,Studio,10,10,10,96,true,40.761941570444094,10,-73.9855195639428,1,1,2,75,28,0,109,5,,19831414,,Entire home/apt,10
10,shared bath,bed,bedroom,10,10,10,98,true,40.721628731260246,10,-73.98714828916103,1,1,1,,84,1,100,5,,14707675,,Private room,10
10,bath,beds,Studio,10,10,10,99,false,40.746237572444905,10,-74.00370891212499,1,2,3,,36,0,105,5,,15344255,,Entire home/apt,10
9,bath,bed,bedroom,10,8,10,89,false,40.73348541179423,10,-73.985218655173,1,1,2,,98,1,103,4.5,,365227,,Entire home/apt,8
,baths,beds,bedrooms,,,,,false,40.716364909414786,,-73.99247931432343,2,2,5,,,2,103,,,18073785,,Entire home/apt,
9,bath,bed,bedroom,10,9,9,91,false,40.74128336913609,10,-73.98069355367292,1,1,3,9,9,1,103,4.5,,21578157,,Entire home/apt,9
10,bath,beds,bedroom,10,10,10,96,true,40.773229069717054,10,-73.98013552001653,1,2,3,,105,1,108,5,,3958460,,Private room,10
10,bath,bed,bedroom,10,10,10,97,true,40.759260901597706,10,-73.99114948895503,1,1,2,,78,1,105,5,,6817378,,Entire home/apt,10
,bath,bed,bedroom,,,,,false,40.71523465293027,,-73.98907461439381,1,1,2,1,,1,100,,,22157519,,Entire home/apt,
9,bath,bed,bedroom,10,9,10,97,false,40.72062197763278,10,-73.9946945865204,1,1,3,,21,1,108,5,,18294218,,Entire home/apt,9
10,bath,beds,bedroom,10,10,10,99,false,40.759600980969694,10,-73.99099364588665,1,2,4,,28,1,106,5,,18979278,,Entire home/apt,10
10,bath,beds,bedroom,10,10,10,98,true,40.7209649439018,10,-74.03408626849686,1,2,2,,9,1,110,5,,20308875,,Entire home/apt,10
,bath,bed,bedroom,,,,,false,40.759943249418406,,-73.96271648749057,1,1,2,,,1,100,,,21505126,,Entire home/apt,
,bath,beds,bedrooms,,,,,false,40.751024900153666,,-73.9716340979895,1,4,6,,,2,100,,,19528290,,Entire home/apt,
10,bath,beds,bedrooms,10,10,10,100,true,40.77294346007775,10,-74.01745048493792,1,2,4,24,24,2,100,5,,19379600,,Entire home/apt,10
10,bath,beds,bedrooms,10,10,10,96,false,40.711637174498726,10,-74.00774463537614,1,5,8,234,223,2,105,5,,483485,,Entire home/apt,10
,bath,bed,Studio,,,,,false,40.74151839760376,,-73.99776356230075,1,1,2,1,,0,101,,,22995195,,Entire home/apt,
10,bath,bed,bedroom,10,9,10,93,false,40.77634987514943,8,-73.93426094888281,1,1,4,,124,1,115,4.5,,74680,,Entire home/apt,9
10,bath,bed,Studio,10,10,10,97,false,40.7431499641494,10,-73.98399810889676,1,1,3,,60,0,120,5,,15034752,,Entire home/apt,10
10,bath,beds,Studio,10,9,10,95,false,40.75830489411145,10,-73.98294612823531,1,2,3,,45,0,114,5,,19829390,,Entire home/apt,9
10,bath,beds,bedroom,10,10,10,98,true,40.713055928935084,10,-74.03774254337054,1,3,5,,35,1,115,5,,19907237,,Entire home/apt,10
10,bath,bed,bedroom,10,10,10,97,false,40.78743365787564,10,-73.95178617977382,1,1,2,13,13,1,120,5,,21620762,,Entire home/apt,10
10,bath,beds,bedroom,10,9,10,92,false,40.71533569151199,10,-73.95486886457036,1,4,4,,64,1,110,4.5,,19543863,,Entire home/apt,9
10,bath,bed,Studio,10,10,10,97,true,40.774161915674945,10,-73.95258952967386,1,1,2,,27,0,115,5,,11279590,,Entire home/apt,10
9,bath,beds,Studio,10,8,10,86,false,40.764586911904004,9,-73.95840888019471,1,2,4,145,145,0,110,4.5,,9509831,,Entire home/apt,8
9,bath,beds,Studio,10,9,10,92,false,40.72606683842168,10,-73.981816946485,1,2,4,,170,0,115,4.5,,64551,,Entire home/apt,9
9,bath,beds,bedroom,9,8,9,83,false,40.74801022349374,10,-73.98898832275987,1,3,6,,204,1,120,4,,2707450,,Entire home/apt,8
9,bath,bed,bedroom,10,9,10,89,false,40.75577472413182,10,-73.99466406571956,1,1,2,,108,1,110,4.5,,11187722,,Entire home/apt,9
9,bath,bed,Studio,10,9,10,92,false,40.778678125195846,10,-73.98276091217205,1,1,2,,25,0,120,4.5,,19592427,,Entire home/apt,9
9,private bath,bed,bedroom,10,10,10,96,false,40.70335429884602,10,-74.0087075870976,1,1,3,,15,1,117,5,,20873575,,Private room,10
10,bath,beds,bedroom,10,9,10,95,true,40.715398554875584,10,-73.99055476547883,1,2,3,55,43,1,117,5,,849574,,Entire home/apt,9
9,bath,bed,Studio,9,9,10,89,false,40.75128209311869,10,-73.97658015923106,1,1,2,228,228,0,112,4.5,,593292,,Entire home/apt,9
,bath,beds,bedrooms,,,,,false,40.750555415663534,,-73.9846639900737,1,3,4,95,,2,115,,,23054311,,Entire home/apt,
10,bath,beds,bedrooms,10,10,10,100,false,40.76052369967968,10,-73.9884889095148,1,3,6,,8,3,114,5,,22434867,,Entire home/apt,10
10,bath,bed,bedroom,10,10,10,100,false,40.70884179898227,9,-74.00753827446384,1,1,2,,8,1,125,5,,13650422,,Entire home/apt,10
10,bath,beds,bedrooms,10,10,10,97,true,40.80011761454228,9,-73.94087265925425,1,2,4,,161,2,120,5,,1747405,,Entire home/apt,10
10,private bath,bed,bedroom,10,9,10,97,true,40.74026097119553,10,-73.99746282148615,1,1,2,,112,1,125,5,,6479559,,Private room,9
10,bath,bed,bedroom,10,9,9,98,false,40.76351832244315,10,-73.98155305605131,1,1,2,103,39,1,130,5,,2318184,,Private room,9
10,bath,beds,bedrooms,10,10,10,97,true,40.76057981037339,10,-73.98701389866402,1,2,2,,33,2,130,5,,17771936,,Entire home/apt,10
10,bath,bed,Studio,10,9,10,94,false,40.76225777228166,10,-73.99285324540134,1,1,2,,84,0,125,4.5,,11775347,,Entire home/apt,9
10,private bath,bed,bedroom,10,10,10,100,false,40.740078094021946,10,-73.98091113266186,1,1,2,9,9,1,125,5,,20454918,,Private room,10
,bath,bed,bedroom,,,,,false,40.74665372050434,,-73.98041833332775,1,1,2,,,1,125,,,15825854,,Entire home/apt,
10,bath,beds,Studio,10,9,10,95,false,40.745033236417065,10,-73.99922237964164,1,2,3,,42,0,124,5,,16677170,,Entire home/apt,9
10,bath,bed,bedroom,10,10,10,99,true,40.72278000309023,10,-73.99670011814615,1,1,4,,168,1,130,5,,411336,,Entire home/apt,10
10,shared bath,bed,bedrooms,10,10,10,100,false,40.73145059466114,10,-74.00183968843267,1,1,2,,10,2,129,5,,20835690,,Private room,10
10,bath,bed,Studio,10,9,10,94,false,40.78165098597718,10,-73.94825462347687,1,1,4,,19,0,127,4.5,,6692213,,Entire home/apt,9
,bath,bed,bedroom,,,,,false,40.73793044098878,,-74.00075953134574,1,1,4,1,,1,120,,,22542931,,Entire home/apt,
