accuracy,bathType,bedType,bedroomType,checkin,cleanliness,communication,guestSatisfaction,isSuperhost,latitude,location,longitude,numBaths,numBeds,numGuests,numHostReviews,numReviews,numRooms,price,rating,responseTimeShown,roomID,roomType,shortDesc,value
10,shared bath,bed,bedrooms,10,10,10,96,false,40.737255453513995,9,-73.92775362747135,1,1,2,30,18,3,32,5,,20267865,,Private room,10
10,shared baths,beds,bedroom,10,9,10,91,false,40.70232355041517,9,-73.94659513367823,3,3,4,875,80,1,30,4.5,,14014016,,Private room,9
10,shared bath,beds,bedroom,10,9,10,98,false,40.766297909622516,9,-74.03241799218408,1,2,2,,75,1,35,5,,704577,,Private room,9
10,shared bath,bed,bedroom,10,9,10,95,false,40.70665541655028,10,-73.93666012638117,1,1,2,29,25,1,30,5,,16160189,,Private room,9
,bath,beds,bedroom,,,,,true,40.74099680825533,,-74.02806830786794,1,4,6,,,1,42,,,15468641,,Entire home/apt,
9,shared bath,bed,bedroom,10,9,10,92,false,40.746543812279654,10,-73.95597246083678,1,1,2,,18,1,50,4.5,,20996993,,Private room,9
9,bath,bed,bedroom,9,7,10,86,false,40.70960531628594,10,-73.96352015772787,1,1,2,,17,1,40,4.5,,13018127,,Private room,7
9,private bath,bed,bedroom,9,9,9,91,false,40.770097307845845,9,-74.03903207352123,1,1,2,336,132,1,40,4.5,,4111610,,Private room,9
9,shared bath,bed,bedroom,9,9,9,91,false,40.75993996701784,9,-73.93509362329134,1,1,3,1466,300,1,46,4.5,,2950760,,Private room,9
10,shared bath,bed,bedroom,10,10,10,96,true,40.78976155573011,9,-73.94954350673594,1,1,2,553,129,1,45,5,,13206851,,Private room,10
9,bath,bed,bedroom,9,9,9,85,false,40.79854837879957,9,-73.96388792072098,1,1,2,,137,1,47,4.5,,7382564,,Private room,9
9,bath,bed,bedroom,9,9,10,90,false,40.71616880792099,9,-73.9907072062126,1,1,2,,47,1,45,4.5,,15896529,,Private room,9
9,bath,beds,bedrooms,10,10,10,93,false,40.71400518253546,9,-73.96609839122863,1,3,5,37,36,2,45,4.5,,19590061,,Entire home/apt,10
10,shared bath,bed,bedroom,10,9,10,95,true,40.770698098713375,9,-74.02119224019816,1,1,2,81,45,1,45,5,,17572037,,Private room,9
10,shared bath,bed,bedroom,10,10,10,98,true,40.74546578812162,10,-73.93184166699974,1,1,1,,17,1,45,5,,2867115,,Private room,10
10,shared bath,bed,bedroom,10,9,10,97,true,40.7821866998969,10,-74.01003545403441,1,1,2,,12,1,45,5,,21413489,,Private room,9
9,private bath,bed,Studio,10,10,10,94,false,40.77507494105167,10,-73.95483439052585,1,1,2,174,109,0,42,4.5,,10377156,,Private room,10
,shared bath,bed,bedroom,,,,,false,40.76929925838012,,-74.02166339175346,1,1,2,,,1,47,,,19825979,,Private room,
9,bath,beds,Studio,10,9,9,91,false,40.775792582842534,9,-74.0314201155579,1,2,3,,18,0,45,4.5,,20571481,,Entire home/apt,9
9,bath,beds,bedrooms,10,10,10,93,false,40.78545184764819,9,-74.00764208102393,1,2,4,266,89,2,47,4.5,,13313429,,Entire home/apt,10
9,bath,beds,bedroom,9,10,9,89,false,40.769363424242975,8,-74.03169947504622,1,2,4,2171,148,1,49,4.5,,5851881,,Entire home/apt,10
9,private bath,bed,bedroom,10,8,10,91,true,40.74859039677221,10,-73.99670871016936,1,1,2,,310,1,50,4.5,,51572,,Private room,8
9,shared bath,beds,bedroom,10,9,10,91,false,40.723366903072325,10,-73.98824991114171,1,2,3,,72,1,54,4.5,,12875381,,Private room,9
9,shared bath,bed,bedroom,9,9,9,87,false,40.795597566729576,9,-73.96313313010306,1,1,2,98,47,1,50,4.5,,16136211,,Private room,9
,shared bath,bed,bedroom,,,,,false,40.705508587514544,,-74.00735110045211,1,1,3,,,1,58,,,16162363,,Private room,
,shared bath,beds,bedroom,,,,,false,40.71856194902144,,-73.99808785624826,1,2,3,,,1,50,,,22852586,,Private room,
9,bath,beds,bedroom,10,9,10,92,false,40.69527167055757,9,-73.94786476385895,1,2,3,,234,1,59,4.5,,4218129,,Private room,9
10,bath,bed,bedroom,10,9,10,92,false,40.76483030302195,10,-73.98981092859903,1,1,2,,105,1,50,4.5,,7883623,,Private room,9
10,shared bath,bed,bedroom,9,9,9,90,false,40.748401515652354,9,-73.94650553509611,1,1,1,248,87,1,56,4.5,,9895587,,Private room,9
10,bath,bed,bedroom,10,8,10,90,false,40.81369425195681,9,-73.94150159665153,1,1,2,55,55,1,50,4.5,,12686733,,Private room,8
,shared bath,bed,bedroom,,,,,false,40.79149051354639,,-73.9460318267611,1,1,1,,,1,50,,,23088993,,Private room,
,shared bath,bed,bedroom,,,,,false,40.69477782446829,,-73.99735714477455,1,1,1,,,1,51,,,19769974,,Private room,
10,shared bath,bed,bedroom,10,10,10,98,true,40.72590102443884,10,-74.04490917729223,1,1,2,28,8,1,54,5,,21039145,,Private room,10
9,shared bath,beds,Studio,9,9,10,88,false,40.76120360346282,10,-73.98238556878029,1,2,2,21,21,0,59,4.5,,21045695,,Private room,9
10,shared baths,bed,bedroom,10,10,10,99,false,40.781873781952505,10,-74.01258269715183,1.5,1,1,,41,1,50,5,,7489950,,Private room,10
10,shared bath,bed,bedroom,10,10,10,98,true,40.697398764253904,9,-73.92486936387421,1,1,2,666,64,1,60,5,,17941851,,Private room,10
10,shared bath,bed,bedroom,10,10,10,100,false,40.70042343810348,10,-73.91798837170728,1,1,3,5,3,1,55,5,,20155394,,Private room,10
9,shared baths,beds,bedroom,10,9,9,90,false,40.699943662822285,9,-73.9322399731711,2,2,3,,63,1,50,4.5,,15990572,,Private room,9
10,bath,beds,bedroom,9,10,10,91,false,40.7391642961766,10,-74.0306801031073,1,3,5,,25,1,66,4.5,,21487882,,Entire home/apt,10
10,bath,beds,bedroom,10,9,10,92,false,40.787918279952514,9,-74.02222551776312,1,2,4,19,18,1,63,4.5,,20469425,,Entire home/apt,9
,shared bath,bed,bedroom,,,,,false,40.75254225068817,,-73.99647033680135,1,1,1,7,,1,70,,,22766361,,Private room,
,bath,beds,bedroom,,,,,true,40.74215019795386,,-73.9263251582749,1,2,3,,,1,69,,,18526162,,Entire home/apt,
10,shared bath,bed,bedroom,10,10,10,100,true,40.77145123779585,10,-74.02195519508322,1,1,2,,20,1,60,5,,20034991,,Private room,10
10,shared bath,beds,bedroom,10,10,10,93,false,40.724699035049284,10,-73.99036216370973,1,2,3,,66,1,65,4.5,,4108547,,Private room,10
10,shared bath,bed,bedroom,10,10,10,99,true,40.692727308279835,9,-73.94573423470577,1,1,2,74,69,1,64,5,,13264899,,Private room,10
9,baths,bed,bedroom,9,10,10,98,false,40.7730880610737,10,-73.95670290782586,1.5,1,2,1,23,1,67,5,,20607108,,Shared room,10
9,bath,beds,bedroom,9,9,10,94,false,40.764544706464214,10,-73.98631959718828,1,2,5,,30,1,70,4.5,,18962722,,Entire home/apt,9
10,shared bath,bed,bedroom,10,10,10,98,true,40.77119933110062,10,-74.02195366375983,1,1,2,,35,1,60,5,,18935667,,Private room,10
9,bath,beds,bedroom,10,9,10,92,false,40.6956011751507,9,-73.9482688198348,1,2,3,698,222,1,65,4.5,,4170460,,Private room,9
10,shared bath,bed,bedroom,10,10,10,98,true,40.779873930723056,10,-74.0140164317537,1,1,2,233,133,1,65,5,,4096793,,Private room,10
9,bath,bed,Studio,10,9,9,95,false,40.72870674923693,10,-73.98378409611719,1,1,2,,17,0,69,5,,21118999,,Entire home/apt,9
,shared bath,bed,bedroom,,,,,false,40.709164169550746,,-73.94413924370663,1,1,2,6,,1,63,,,23000671,,Private room,
9,shared bath,bed,bedroom,10,10,10,93,true,40.74515770755963,10,-73.9958991630962,1,1,1,26,25,1,70,4.5,,12658099,,Private room,10
10,shared bath,bed,bedroom,10,10,10,97,true,40.74901631397637,9,-73.94066222401334,1,1,2,,75,1,70,5,,3061995,,Private room,10
10,bath,bed,Studio,10,9,10,96,true,40.76996000396209,9,-74.02670111275053,1,1,2,,63,0,60,5,,8148335,,Entire home/apt,9
,bath,bed,bedroom,,,,,true,40.71222775530117,,-73.94169482597727,1,1,2,,,1,75,,,3907603,,Private room,
10,bath,beds,bedrooms,9,10,9,96,false,40.73296926348854,10,-73.95798414729413,1,3,4,164,10,2,70,5,,19481649,,Entire home/apt,10
10,bath,bed,bedroom,10,9,10,93,false,40.78607797302403,10,-73.97700655171359,1,1,2,110,67,1,75,4.5,,6893767,,Private room,9
10,baths,bed,bedroom,10,10,10,95,false,40.80753730852903,10,-73.9515089630176,2,1,2,,33,1,75,5,,17263550,,Private room,10
10,shared bath,bed,bedroom,10,9,10,91,false,40.75808745346079,10,-73.96663635987585,1,1,2,,24,1,80,4.5,,20406017,,Private room,9
